topic_name,category_name,bundle_id,year,company,industry,country
Water stewardship,Water management,19922,2021,Greencore Group PLC,Processed Foods,Ireland
Packaging material recycling,Material use and circular economy,27341,2024,Famous Brands Ltd,Processed Foods,South Africa
Sustainable raw material procurement,Supply chain and procurement practices,24855,2021,Nisshin Seifun Group Inc.,Processed Foods,Japan
Advancing Respect for Human Rights,"Human rights, child labor, forced or compulsory labor",35759,2023,Mars,Processed Foods,United States
Food safety,Product quality and safety,59846,2025,Lactalis ,Processed Foods,France
Work Style Reform,Employee attraction and retention,28900,2022,Nissui Corp,Processed Foods,Japan
Responsible Sourcing,Supply chain and procurement practices,36573,2024,DelMonte,Processed Foods,United States
Water management,Water management,21345,2022,Grupo Herdez SAB de CV,Processed Foods,Mexico
Diversity Equity Inclusion,"Diversity, equal opportunity and non-discrimination",51131,2024,SunOpta Inc,Processed Foods,Canada
Talent Engagement and Retention,Employee attraction and retention,44918,2024,JK Sugar Ltd,Processed Foods,India
"Water, waste and effluents",Water management,45918,2021,NASCON Allied Industries PLC,Processed Foods,Nigeria
Customer Experience,Customer experience and engagement,44308,2023,HB Global Ltd,Processed Foods,China
Worker safety,Occupational health and safety,40156,2024,Seneca Foods Corporation,Processed Foods,United States
Talent Development,"Training, education and development",28534,2021,GEA Group Aktiengesellschaft,Processed Foods,Germany
Product transparency,Responsible marketing and labeling,33820,2023,"Deoleo, S.A.",Processed Foods,Spain
Occupational health and safety,Occupational health and safety,42635,2023,Cerealis,Processed Foods,Tunisia
Food and nutrition,Other,36483,2022,Bega Cheese Limited,Processed Foods,Australia
quality food products,Product quality and safety,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Risk of corruption,Anti-corruption,36231,2024,Lantmännen ek för,Processed Foods,Sweden
Labor,"Human rights, child labor, forced or compulsory labor",43433,2023,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Ethics,Corporate governance,23250,2023,AVI Ltd,Processed Foods,South Africa
Sustainability governance,Corporate governance,41040,2024,RFG Holdings Limited,Processed Foods,South Africa
Labor Relations,Freedom of association and collective bargaining,34849,2021,International Foods Co,Processed Foods,United Arab Emirates
cyber security,Data security and customer privacy,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
Environmental impacts,Environmental management,39701,2023,Pescanova SA,Processed Foods,Spain
Food Bank Donations,Local communities and rights of indigenous peoples,28788,2022,CJ CheilJedang Corporation,Processed Foods,"Korea, Rep."
Environmental Compliance,Compliance with laws and regulations,46999,2024,Savola Group/The,Processed Foods,Saudi Arabia
Halal,Other,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
Community Development,Local communities and rights of indigenous peoples,33737,2021,DCM Shriram Ltd.,Processed Foods,India
stable supply of safe products,Product quality and safety,24855,2021,Nisshin Seifun Group Inc.,Processed Foods,Japan
water intensity reduction,Water management,55311,2024,What’s Cooking?,Processed Foods,Netherlands
Socioeconomic compliance,Other,28533,2020,GEA Group Aktiengesellschaft,Processed Foods,Germany
Market Presence,Economic performance,47064,2023,Select Harvests Ltd,Processed Foods,Australia
Supply chain transparency,Supply chain and procurement practices,52687,2023,De Graaf Bakeries,Processed Foods,Netherlands
Supplier Social Assessment,Supply chain and procurement practices,33461,2023,Food Empire Holdings Limited,Processed Foods,Singapore
Use of renewable energy,Energy,22041,2022,Dongwon Industries Co Ltd,Processed Foods,"Korea, Rep."
Sustainable Procurement,Supply chain and procurement practices,28900,2022,Nissui Corp,Processed Foods,Japan
Non-discrimination,"Diversity, equal opportunity and non-discrimination",29027,2023,Del Monte Foods Inc,Processed Foods,United States
Workforce/Union,Freedom of association and collective bargaining,50958,2021,Lancaster Colony Corporation,Processed Foods,United States
Sustainable packaging reuse recycling,Material use and circular economy,21345,2022,Grupo Herdez SAB de CV,Processed Foods,Mexico
Conserving biodiversity,Biodiversity,27784,2021,Kyokuyo Co Ltd,Processed Foods,Japan
Screening suppliers on environmental criteria,Environmental management,38262,2023,Lactalis ,Processed Foods,France
Energy and logistics costs,Energy,24560,2022,House Foods Group Inc,Processed Foods,Japan
Indirect Economic Impacts,Economic performance,26021,2022,Tiga Pilar Sejahtera Food Tbk,Processed Foods,Indonesia
Business integrity,Corporate governance,37090,2023,Grupo Arcor SA,Processed Foods,Argentina
Protect Renew Restore Resources,Environmental management,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
Renewable materials used,Material use and circular economy,52929,2023,Eurimac,Processed Foods,Greece
ANTI-CORRUPTION,Anti-corruption,47688,2021,Tassal Group Ltd,Processed Foods,Australia
Career development opportunities,"Training, education and development",57804,2024,Chocoladefabriken Lindt & Spruengli AG,Processed Foods,Switzerland
Civic engagement,Other,29027,2023,Del Monte Foods Inc,Processed Foods,United States
Political engagement,Political influence and lobbying,20639,2023,Orkla ASA,Processed Foods,Norway
Ethics and Integrity,Corporate governance,19847,2019,Lamb Weston Holdings Inc,Processed Foods,United States
Human capital Development,"Training, education and development",41387,2022,ADF Foods Ltd,Processed Foods,India
Development and training,"Training, education and development",44915,2022,Jiujiuwang Food International Ltd,Processed Foods,China
climate change,Climate change and GHG emissions,28191,2018,Löfbergs Lila AB,Processed Foods,Sweden
Product/service safety and quality,Product quality and safety,58675,2024,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Packaging Roadmap,Material use and circular economy,59885,2025,Alicorp SAA,Processed Foods,Peru
safety and well-being,Occupational health and safety,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Waste Management,Waste management,44884,2023,Jiahe Foods Industry Co Ltd,Processed Foods,China
Community Relations,Local communities and rights of indigenous peoples,21846,2023,"Freshpet, Inc.",Processed Foods,United States
Climate-related issues,Climate change and GHG emissions,32651,2021,Hilton Food Group PLC,Processed Foods,United Kingdom
Climate Change and Energy,Climate change and GHG emissions,48964,2024,Food Empire Holdings Limited,Processed Foods,Singapore
healthcare,Economic performance,48784,2024,SA San Miguel AGICI y F,Processed Foods,Argentina
Circular economy,Material use and circular economy,29636,2021,Inarktika PAO,Processed Foods,Russian Federation
Consumer diet sustainability,Access & affordability,18997,2024,Bonduelle SCA,Processed Foods,France
Diversity Inclusion,"Diversity, equal opportunity and non-discrimination",53246,2022,Griffith Foods,Processed Foods,United States
Human resource development,"Training, education and development",41195,2023,Daisho Co Ltd,Processed Foods,Japan
Energy and Climate Change,Energy,18443,2019,Campbell Soup Company,Processed Foods,United States
Enterprise and supplier development,Supply chain and procurement practices,60189,2025,Famous Brands Ltd,Processed Foods,South Africa
Local biodiversity,Biodiversity,35154,2022,RONCADIN SPA SB,Processed Foods,Italy
Youth empowerment,Other,45991,2022,Nestle Nigeria PLC,Processed Foods,Nigeria
Responsible & Resilient Systems,Other,34850,2022,International Foods Co,Processed Foods,United Arab Emirates
Food safety and quality,Product quality and safety,28569,2022,The Hershey Company,Processed Foods,United States
Greenhouse gas emissions,Climate change and GHG emissions,36483,2022,Bega Cheese Limited,Processed Foods,Australia
Water Stress,Water management,31833,2022,Blue Star Foods Corp.,Processed Foods,United States
Diversity and gender equality,"Diversity, equal opportunity and non-discrimination",58697,2024,Green Foods Co Ltd,Processed Foods,Japan
water security,Water management,32585,2022,McCormick & Company Incorporated,Processed Foods,United States
Environmental Impact Assessments,Environmental management,45991,2022,Nestle Nigeria PLC,Processed Foods,Nigeria
Recruitment and development of human resources,Employee attraction and retention,41198,2022,Nippon Flour Mills Co Ltd,Processed Foods,Japan
Decarbonise activities,Climate change and GHG emissions,39631,2023,Eurogerm SAS,Processed Foods,France
Economic Prosperity,Economic performance,50958,2021,Lancaster Colony Corporation,Processed Foods,United States
Waste reduction,Waste management,39276,2021,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Changes in consumer profile,Other,59559,2024,SOVENA,Processed Foods,Portugal
Local Communities,Local communities and rights of indigenous peoples,34850,2022,International Foods Co,Processed Foods,United Arab Emirates
Emissions,Climate change and GHG emissions,38426,2022,Lotus Bakeries NV,Processed Foods,Belgium
Supply chain traceability,Supply chain and procurement practices,52749,2023,Dr. Schär,Processed Foods,Italy
Improving wastewater quality,Water management,34355,2022,"OSI Group, LLC",Processed Foods,United States
Nutrition and health,Other,42635,2023,Cerealis,Processed Foods,Tunisia
Waste management,Waste management,35120,2022,Brake Bros Ltd,Processed Foods,United Kingdom
Packaging Lifecycle Management,Material use and circular economy,47818,2024,The J M Smucker Company,Processed Foods,United States
Human rights,"Human rights, child labor, forced or compulsory labor",31655,2023,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
resource efficiency,Material use and circular economy,29631,2020,AAK AB (publ),Processed Foods,Sweden
Human rights violations,"Human rights, child labor, forced or compulsory labor",34154,2023,"J-Oil Mills, Inc.",Processed Foods,Japan
Cooperation with local governments and universities,Corporate governance,41195,2023,Daisho Co Ltd,Processed Foods,Japan
Safety and Security,Occupational health and safety,28900,2022,Nissui Corp,Processed Foods,Japan
Public policy,Other,36127,2024,"General Mills, Inc.",Processed Foods,United States
Employee recruitment,Employee attraction and retention,44915,2022,Jiujiuwang Food International Ltd,Processed Foods,China
sustainable cocoa sourcing,Supply chain and procurement practices,32800,2022,Hershey Co,Processed Foods,United States
Financial growth and profitability,Economic performance,44878,2022,JG Summit Holdings Inc,Processed Foods,Philippines
Anti-competitive Behaviour,Anti-competitive behavior,28347,2018,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Employee performance reviews,Economic performance,40337,2021,Oriental Food Industries Holdings BHD,Processed Foods,Malaysia
Employment and rights,"Human rights, child labor, forced or compulsory labor",45389,2024,Lippo Ltd,Processed Foods,"Hong Kong SAR, China"
Fair and open procurement,Corporate governance,30747,2022,COFCO Joycome Foods Limited,Processed Foods,China
Occupational Health and Safety,Occupational health and safety,33304,2023,Thai Union Group PCL,Processed Foods,Thailand
Management transparency,Corporate governance,37426,2022,Ajinomoto Co Inc,Processed Foods,Japan
Modern slavery awareness,"Human rights, child labor, forced or compulsory labor",20980,2022,Hilton Food Group PLC,Processed Foods,United Kingdom
Employee health safety,Occupational health and safety,29977,2022,"Sigma Alimentos, S. A. de C. V.",Processed Foods,Mexico
Greenhouse gas emissions,Climate change and GHG emissions,57698,2024,The Hain Celestial Group Inc,Processed Foods,United States
Development in Local Communities,Local communities and rights of indigenous peoples,38424,2023,Ebro Foods SA,Processed Foods,Spain
Ethics,Corporate governance,31143,2022,Eurogerm SAS,Processed Foods,France
Employee Health and Safety,Occupational health and safety,45988,2022,Nestle Malaysia Bhd,Processed Foods,Malaysia
Conflict of interests,Corporate governance,44087,2024,Gopal Snacks Ltd,Processed Foods,India
Consumer health,Other,18882,2021,Cloetta AB,Processed Foods,Sweden
Diversity & Inclusion,"Diversity, equal opportunity and non-discrimination",53245,2021,Griffith Foods,Processed Foods,United States
Well-being,Other,18630,2020,Mondelez International Inc,Processed Foods,United States
Employee wellbeing and development,"Training, education and development",54005,2023,Nactarome,Processed Foods,Italy
packaging,Material use and circular economy,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
Corporate governance,Corporate governance,25470,2020,Uni-President Enterprises Corp,Processed Foods,Taiwan
